order_id,product_name,category,price_inr,quantity_sold,total_sales_inr,order_date,payment_method,customer_rating,month,year,profit_inr,discount_percent,customer_segment,region,calculated_sales,sales_difference,profit_margin_percent,revenue_per_unit,profit_per_unit,month_number,quarter,year_month,discount_amount,net_sales_after_discount,month_start
ORD00001,Educational Book,Books,49069.56,2,98139.12,12-09-2024,Debit Card,3.5,September,2024,19627.824,11,Online,West,98139.12,0,20.00%,49069.56,9813.912,9,Q3,Sep-24,10795.3032,87343.82,Sep-24
ORD00002,Jeans,Clothing,12755.85,4,51023.4,18-12-2024,UPI,3.9,December,2024,10204.68,24,Wholesale,North,51023.4,0,20.00%,12755.85,2551.17,12,Q4,Dec-24,12245.616,38777.78,Dec-24
ORD00003,Face Cream,Beauty,11092.19,4,44368.76,18-05-2024,Debit Card,4.4,May,2024,8873.752,19,Online,South,44368.76,0,20.00%,11092.19,2218.438,5,Q2,May-24,8430.0644,35938.7,May-24
ORD00004,Smartwatch,Electronics,32657.81,1,32657.81,08-11-2024,Debit Card,3.2,November,2024,6531.562,15,Online,North,32657.81,0,20.00%,32657.81,6531.562,11,Q4,Nov-24,4898.6715,27759.14,Nov-24
ORD00005,Cookware Set,Home & Kitchen,26590.08,3,79770.24,27-12-2024,UPI,3.1,December,2024,15954.048,12,Retail,North,79770.24,0,20.00%,26590.08,5318.016,12,Q4,Dec-24,9572.4288,70197.81,Dec-24
ORD00006,Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,22-10-2024,Wallet,1.7,October,2024,4190.012,25,Wholesale,North,20950.06,0,20.00%,10475.03,2095.006,10,Q4,Oct-24,5237.515,15712.55,Oct-24
ORD00007,Sneakers,Clothing,38647.72,3,115943.16,04-07-2024,Wallet,2,July,2024,23188.632,11,Wholesale,North,115943.16,0,20.00%,38647.72,7729.544,7,Q3,Jul-24,12753.7476,103189.41,Jul-24
ORD00008,Table Lamp,Home & Kitchen,24818.59,3,74455.77,27-12-2024,Debit Card,2.4,December,2024,14891.154,30,Wholesale,South,74455.77,0,20.00%,24818.59,4963.718,12,Q4,Dec-24,22336.731,52119.04,Dec-24
ORD00009,Jacket,Clothing,1987.39,2,3974.78,18-01-2025,Debit Card,2.6,January,2025,794.956,23,Online,North,3974.78,0,20.00%,1987.39,397.478,1,Q1,Jan-25,914.1994,3060.58,Jan-25
ORD00010,Tablet,Electronics,26876.51,2,53753.02,14-03-2024,Debit Card,4,March,2024,10750.604,27,Online,North,53753.02,0,20.00%,26876.51,5375.302,3,Q1,Mar-24,14513.3154,39239.7,Mar-24
